a,b,n,rad_a,rad_b,rad_n,rad_product
75,233,308,15,233,154,538230
81,227,308,3,227,154,104874
83,225,308,83,15,154,191730
101,207,308,101,69,154,1073226
117,191,308,39,191,154,1147146
125,183,308,5,183,154,140910
135,173,308,15,173,154,399630
137,171,308,137,57,154,1202586
139,169,308,139,13,154,278278
153,155,308,51,155,154,1217370
4,305,309,2,305,309,188490
8,301,309,2,301,309,186018
16,293,309,2,293,309,181074
25,284,309,5,142,309,219390
28,281,309,14,281,309,1215606
29,280,309,29,70,309,627270
32,277,309,2,277,309,171186
34,275,309,34,55,309,577830
37,272,309,37,34,309,388722
40,269,309,10,269,309,831210
49,260,309,7,130,309,281190
50,259,309,10,259,309,800310
53,256,309,53,2,309,32754
56,253,309,14,253,309,1094478
59,250,309,59,10,309,182310
61,248,309,61,62,309,1168638
64,245,309,2,35,309,21630
67,242,309,67,22,309,455466
77,232,309,77,58,309,1379994
80,229,309,10,229,309,707610
85,224,309,85,14,309,367710
88,221,309,22,221,309,1502358
98,211,309,14,211,309,912786
100,209,309,10,209,309,645810
101,208,309,101,26,309,811434
109,200,309,109,10,309,336810
112,197,309,14,197,309,852222
113,196,309,113,14,309,488838
121,188,309,11,94,309,319506
125,184,309,5,46,309,71070
128,181,309,2,181,309,111858
133,176,309,133,22,309,904134
134,175,309,134,35,309,1449210
140,169,309,70,13,309,281190
149,160,309,149,10,309,460410
9,301,310,3,301,310,279930
27,283,310,3,283,310,263190
49,261,310,7,87,310,188790
63,247,310,21,247,310,1607970
67,243,310,67,3,310,62310
81,229,310,3,229,310,212970
121,189,310,11,21,310,71610
141,169,310,141,13,310,568230
147,163,310,21,163,310,1061130
1,311,312,1,311,78,24258
25,287,312,5,287,78,111930
37,275,312,37,55,78,158730
49,263,312,7,263,78,143598
67,245,312,67,35,78,182910
121,191,312,11,191,78,163878
125,187,312,5,187,78,72930
137,175,312,137,35,78,374010
1,314,315,1,314,105,32970
4,311,315,2,311,105,65310
8,307,315,2,307,105,64470
16,299,315,2,299,105,62790
26,289,315,26,17,105,46410
31,284,315,31,142,105,462210
32,283,315,2,283,105,59430
43,272,315,43,34,105,153510
44,271,315,22,271,105,626010
47,268,315,47,134,105,661290
52,263,315,26,263,105,717990
59,256,315,59,2,105,12390
64,251,315,2,251,105,52710
67,248,315,67,62,105,436170
68,247,315,34,247,105,881790
71,244,315,71,122,105,909510
73,242,315,73,22,105,168630
76,239,315,38,239,105,953610
79,236,315,79,118,105,978810
83,232,315,83,58,105,505470
88,227,315,22,227,105,524370
92,223,315,46,223,105,1077090
103,212,315,103,106,105,1146390
104,211,315,26,211,105,576030
107,208,315,107,26,105,292110
116,199,315,58,199,105,1211910
121,194,315,11,194,105,224070
124,191,315,62,191,105,1243410
127,188,315,127,94,105,1253490
128,187,315,2,187,105,39270
131,184,315,131,46,105,632730
136,179,315,34,179,105,639030
139,176,315,139,22,105,321090
143,172,315,143,86,105,1291290
146,169,315,146,13,105,199290
148,167,315,74,167,105,1297590
151,164,315,151,82,105,1300110
152,163,315,38,163,105,650370
1,315,316,1,105,158,16590
9,307,316,3,307,158,145518
25,291,316,5,291,158,229890
27,289,316,3,17,158,8058
37,279,316,37,93,158,543678
41,275,316,41,55,158,356290
45,271,316,15,271,158,642270
49,267,316,7,267,158,295302
55,261,316,55,87,158,756030
63,253,316,21,253,158,839454
71,245,316,71,35,158,392630
73,243,316,73,3,158,34602
75,241,316,15,241,158,571170
81,235,316,3,235,158,111390
91,225,316,91,15,158,215670
99,217,316,33,217,158,1131438
109,207,316,109,69,158,1188318
117,199,316,39,199,158,1226238
121,195,316,11,195,158,338910
125,191,316,5,191,158,150890
127,189,316,127,21,158,421386
135,181,316,15,181,158,428970
141,175,316,141,35,158,779730
145,171,316,145,57,158,1305870
147,169,316,21,13,158,43134
153,163,316,51,163,158,1313454
25,293,318,5,293,318,465870
29,289,318,29,17,318,156774
43,275,318,43,55,318,752070
49,269,318,7,269,318,598794
73,245,318,73,35,318,812490
121,197,318,11,197,318,689106
125,193,318,5,193,318,306870
143,175,318,143,35,318,1591590
149,169,318,149,13,318,615966
4,315,319,2,105,319,66990
8,311,319,2,311,319,198418
9,310,319,3,310,319,296670
16,303,319,2,303,319,193314
25,294,319,5,42,319,66990
27,292,319,3,146,319,139722
28,291,319,14,291,319,1299606
30,289,319,30,17,319,162690
31,288,319,31,6,319,59334
32,287,319,2,287,319,183106
35,284,319,35,142,319,1585430
36,283,319,6,283,319,541662
39,280,319,39,70,319,870870
40,279,319,10,93,319,296670
45,274,319,15,274,319,1311090
47,272,319,47,34,319,509762
48,271,319,6,271,319,518694
49,270,319,7,30,319,66990
50,269,319,10,269,319,858110
54,265,319,6,265,319,507210
56,263,319,14,263,319,1174558
63,256,319,21,2,319,13398
64,255,319,2,255,319,162690
67,252,319,67,42,319,897666
69,250,319,69,10,319,220110
71,248,319,71,62,319,1404238
72,247,319,6,247,319,472758
74,245,319,74,35,319,826210
75,244,319,15,122,319,583770
76,243,319,38,3,319,36366
79,240,319,79,30,319,756030
80,239,319,10,239,319,762410
81,238,319,3,238,319,227766
94,225,319,94,15,319,449790
95,224,319,95,14,319,424270
96,223,319,6,223,319,426822
98,221,319,14,221,319,986986
100,219,319,10,219,319,698610
103,216,319,103,6,319,197142
108,211,319,6,211,319,403854
111,208,319,111,26,319,920634
112,207,319,14,69,319,308154
119,200,319,119,10,319,379610
123,196,319,123,14,319,549318
125,194,319,5,194,319,309430
127,192,319,127,6,319,243078
128,191,319,2,191,319,121858
130,189,319,130,21,319,870870
135,184,319,15,46,319,220110
139,180,319,139,30,319,1330230
144,175,319,6,35,319,66990
147,172,319,21,86,319,576114
148,171,319,74,57,319,1345542
150,169,319,30,13,319,124410
157,162,319,157,6,319,300498
159,160,319,159,10,319,507210
1,319,320,1,319,10,3190
9,311,320,3,311,10,9330
27,293,320,3,293,10,8790
31,289,320,31,17,10,5270
41,279,320,41,93,10,38130
49,271,320,7,271,10,18970
59,261,320,59,87,10,51330
63,257,320,21,257,10,53970
77,243,320,77,3,10,2310
81,239,320,3,239,10,7170
99,221,320,33,221,10,72930
113,207,320,113,69,10,77970
117,203,320,39,203,10,79170
121,199,320,11,199,10,21890
131,189,320,131,21,10,27510
147,173,320,21,173,10,36330
149,171,320,149,57,10,84930
151,169,320,151,13,10,19630
153,167,320,51,167,10,85170
4,317,321,2,317,321,203514
8,313,321,2,313,321,200946
16,305,321,2,305,321,195810
25,296,321,5,74,321,118770
28,293,321,14,293,321,1316742
29,292,321,29,146,321,1359114
32,289,321,2,17,321,10914
40,281,321,10,281,321,902010
41,280,321,41,70,321,921270
46,275,321,46,55,321,812130
49,272,321,7,34,321,76398
50,271,321,10,271,321,869910
56,265,321,14,265,321,1190910
64,257,321,2,257,321,164994
65,256,321,65,2,321,41730
71,250,321,71,10,321,227910
73,248,321,73,62,321,1452846
76,245,321,38,35,321,426930
79,242,321,79,22,321,557898
80,241,321,10,241,321,773610
97,224,321,97,14,321,435918
98,223,321,14,223,321,1002162
100,221,321,10,221,321,709410
112,209,321,14,209,321,939246
113,208,321,113,26,321,943098
121,200,321,11,10,321,35310
125,196,321,5,14,321,22470
128,193,321,2,193,321,123906
145,176,321,145,22,321,1023990
152,169,321,38,13,321,158574
160,161,321,10,161,321,516810
9,313,322,3,313,322,302358
25,297,322,5,33,322,53130
27,295,322,3,295,322,284970
33,289,322,33,17,322,180642
43,279,322,43,93,322,1287678
45,277,322,15,277,322,1337910
47,275,322,47,55,322,832370
75,247,322,15,247,322,1193010
79,243,322,79,3,322,76314
81,241,322,3,241,322,232806
97,225,322,97,15,322,468510
121,201,322,11,201,322,711942
125,197,322,5,197,322,317170
135,187,322,15,187,322,903210
153,169,322,51,13,322,213486
4,319,323,2,319,323,206074
8,315,323,2,105,323,67830
9,314,323,3,314,323,304266
16,307,323,2,307,323,198322
25,298,323,5,298,323,481270
27,296,323,3,74,323,71706
28,295,323,14,295,323,1333990
29,294,323,29,42,323,393414
31,292,323,31,146,323,1461898
32,291,323,2,291,323,187986
35,288,323,35,6,323,67830
36,287,323,6,287,323,556206
40,283,323,10,283,323,914090
43,280,323,43,70,323,972230
44,279,323,22,93,323,660858
45,278,323,15,278,323,1346910
48,275,323,6,55,323,106590
49,274,323,7,274,323,619514
50,273,323,10,273,323,881790
53,270,323,53,30,323,513570
54,269,323,6,269,323,521322
56,267,323,14,267,323,1207374
59,264,323,59,66,323,1257762
63,260,323,21,130,323,881790
64,259,323,2,259,323,167314
67,256,323,67,2,323,43282
71,252,323,71,42,323,963186
72,251,323,6,251,323,486438
73,250,323,73,10,323,235790
75,248,323,15,62,323,300390
78,245,323,78,35,323,881790
80,243,323,10,3,323,9690
81,242,323,3,22,323,21318
83,240,323,83,30,323,804270
96,227,323,6,227,323,439926
98,225,323,14,15,323,67830
99,224,323,33,14,323,149226
100,223,323,10,223,323,720290
107,216,323,107,6,323,207366
108,215,323,6,215,323,416670
112,211,323,14,211,323,954142
115,208,323,115,26,323,965770
116,207,323,58,69,323,1292646
121,202,323,11,202,323,717706
123,200,323,123,10,323,397290
125,198,323,5,66,323,106590
127,196,323,127,14,323,574294
128,195,323,2,195,323,125970
131,192,323,131,6,323,253878
134,189,323,134,21,323,908922
135,188,323,15,94,323,455430
143,180,323,143,30,323,1385670
144,179,323,6,179,323,346902
147,176,323,21,22,323,149226
148,175,323,74,35,323,836570
154,169,323,154,13,323,646646
160,163,323,10,163,323,526490
161,162,323,161,6,323,312018
1,323,324,1,323,6,1938
25,299,324,5,299,6,8970
35,289,324,35,17,6,3570
49,275,324,7,55,6,2310
79,245,324,79,35,6,16590
121,203,324,11,203,6,13398
125,199,324,5,199,6,5970
149,175,324,149,35,6,31290
155,169,324,155,13,6,12090
1,324,325,1,6,65,390
4,321,325,2,321,65,41730
8,317,325,2,317,65,41210
9,316,325,3,158,65,30810
16,309,325,2,309,65,40170
27,298,325,3,298,65,58110
28,297,325,14,33,65,30030
29,296,325,29,74,65,139490
31,294,325,31,42,65,84630
32,293,325,2,293,65,38090
33,292,325,33,146,65,313170
36,289,325,6,17,65,6630
37,288,325,37,6,65,14430
41,284,325,41,142,65,378430
44,281,325,22,281,65,401830
46,279,325,46,93,65,278070
48,277,325,6,277,65,108030
49,276,325,7,138,65,62790
53,272,325,53,34,65,117130
54,271,325,6,271,65,105690
56,269,325,14,269,65,244790
57,268,325,57,134,65,496470
61,264,325,61,66,65,261690
63,262,325,21,262,65,357630
64,261,325,2,87,65,11310
68,257,325,34,257,65,567970
69,256,325,69,2,65,8970
72,253,325,6,253,65,98670
73,252,325,73,42,65,199290
76,249,325,38,249,65,615030
77,248,325,77,62,65,310310
81,244,325,3,122,65,23790
82,243,325,82,3,65,15990
83,242,325,83,22,65,118690
84,241,325,42,241,65,657930
88,237,325,22,237,65,338910
89,236,325,89,118,65,682630
92,233,325,46,233,65,696670
93,232,325,93,58,65,350610
96,229,325,6,229,65,89310
97,228,325,97,114,65,718770
98,227,325,14,227,65,206570
99,226,325,33,226,65,484770
101,224,325,101,14,65,91910
108,217,325,6,217,65,84630
109,216,325,109,6,65,42510
112,213,325,14,213,65,193830
113,212,325,113,106,65,778570
116,209,325,58,209,65,787930
118,207,325,118,69,65,529230
121,204,325,11,102,65,72930
124,201,325,62,201,65,810030
126,199,325,42,199,65,543270
127,198,325,127,66,65,544830
128,197,325,2,197,65,25610
129,196,325,129,14,65,117390
132,193,325,66,193,65,827970
133,192,325,133,6,65,51870
136,189,325,34,21,65,46410
137,188,325,137,94,65,837070
141,184,325,141,46,65,421590
144,181,325,6,181,65,70590
147,178,325,21,178,65,242970
148,177,325,74,177,65,851370
149,176,325,149,22,65,213070
152,173,325,38,173,65,427310
153,172,325,51,86,65,285090
154,171,325,154,57,65,570570
157,168,325,157,42,65,428610
161,164,325,161,82,65,858130
162,163,325,6,163,65,63570
4,323,327,2,323,327,211242
8,319,327,2,319,327,208626
16,311,327,2,311,327,203394
25,302,327,5,302,327,493770
28,299,327,14,299,327,1368822
31,296,327,31,74,327,750138
32,295,327,2,295,327,192930
38,289,327,38,17,327,211242
40,287,327,10,287,327,938490
47,280,327,47,70,327,1075830
49,278,327,7,278,327,636342
50,277,327,10,277,327,905790
52,275,327,26,55,327,467610
55,272,327,55,34,327,611490
56,271,327,14,271,327,1240638
64,263,327,2,263,327,172002
71,256,327,71,2,327,46434
77,250,327,77,10,327,251790
79,248,327,79,62,327,1601646
80,247,327,10,247,327,807690
82,245,327,82,35,327,938490
85,242,327,85,22,327,611490
98,229,327,14,229,327,1048362
100,227,327,10,227,327,742290
103,224,327,103,14,327,471534
112,215,327,14,215,327,984270
119,208,327,119,26,327,1011738
121,206,327,11,206,327,740982
125,202,327,5,202,327,330270
127,200,327,127,10,327,415290
128,199,327,2,199,327,130146
131,196,327,131,14,327,599718
151,176,327,151,22,327,1086294
152,175,327,38,35,327,434910
158,169,327,158,13,327,671658
160,167,327,10,167,327,546090
1,327,328,1,327,82,26814
9,319,328,3,319,82,78474
25,303,328,5,303,82,124230
27,301,328,3,301,82,74046
31,297,328,31,33,82,83886
39,289,328,39,17,82,54366
45,283,328,15,283,82,348090
49,279,328,7,93,82,53382
53,275,328,53,55,82,239030
63,265,328,21,265,82,456330
67,261,328,67,87,82,477978
75,253,328,15,253,82,311190
81,247,328,3,247,82,60762
83,245,328,83,35,82,238210
85,243,328,85,3,82,20910
99,229,328,33,229,82,619674
103,225,328,103,15,82,126690
117,211,328,39,211,82,674778
121,207,328,11,69,82,62238
125,203,328,5,203,82,83230
135,193,328,15,193,82,237390
139,189,328,139,21,82,239358
147,181,328,21,181,82,311682
153,175,328,51,35,82,146370
157,171,328,157,57,82,733818
159,169,328,159,13,82,169494
4,325,329,2,65,329,42770
8,321,329,2,321,329,211218
9,320,329,3,10,329,9870
16,313,329,2,313,329,205954
25,304,329,5,38,329,62510
27,302,329,3,302,329,298074
29,300,329,29,30,329,286230
32,297,329,2,33,329,21714
33,296,329,33,74,329,803418
36,293,329,6,293,329,578382
40,289,329,10,17,329,55930
41,288,329,41,6,329,80934
45,284,329,15,142,329,700770
48,281,329,6,281,329,554694
50,279,329,10,93,329,305970
54,275,329,6,55,329,108570
57,272,329,57,34,329,637602
59,270,329,59,30,329,582330
64,265,329,2,265,329,174370
65,264,329,65,66,329,1411410
68,261,329,34,87,329,973182
72,257,329,6,257,329,507318
73,256,329,73,2,329,48034
75,254,329,15,254,329,1253490
79,250,329,79,10,329,259910
80,249,329,10,249,329,819210
81,248,329,3,62,329,61194
86,243,329,86,3,329,84882
87,242,329,87,22,329,629706
89,240,329,89,30,329,878430
96,233,329,6,233,329,459942
100,229,329,10,229,329,753410
104,225,329,26,15,329,128310
108,221,329,6,221,329,436254
113,216,329,113,6,329,223062
117,212,329,39,106,329,1360086
121,208,329,11,26,329,94094
125,204,329,5,102,329,167790
128,201,329,2,201,329,132258
129,200,329,129,10,329,424410
135,194,329,15,194,329,957390
137,192,329,137,6,329,270438
144,185,329,6,185,329,365190
149,180,329,149,30,329,1470630
153,176,329,51,22,329,369138
160,169,329,10,13,329,42770
162,167,329,6,167,329,329658
41,289,330,41,17,330,230010
49,281,330,7,281,330,649110
161,169,330,161,13,330,690690
1,331,332,1,331,166,54946
9,323,332,3,323,166,160854
25,307,332,5,307,166,254810
27,305,332,3,305,166,151890
35,297,332,35,33,166,191730
43,289,332,43,17,166,121346
45,287,332,15,287,166,714630
49,283,332,7,283,166,328846
53,279,332,53,93,166,818214
57,275,332,57,55,166,520410
63,269,332,21,269,166,937734
71,261,332,71,87,166,1025382
75,257,332,15,257,166,639930
81,251,332,3,251,166,124998
87,245,332,87,35,166,505470
89,243,332,89,3,166,44322
99,233,332,33,233,166,1276374
107,225,332,107,15,166,266430
117,215,332,39,215,166,1391910
121,211,332,11,211,166,385286
125,207,332,5,69,166,57270
135,197,332,15,197,166,490530
143,189,332,143,21,166,498498
147,185,332,21,185,166,644910
153,179,332,51,179,166,1515414
157,175,332,157,35,166,912170
161,171,332,161,57,166,1523382
163,169,332,163,13,166,351754
1,332,333,1,166,111,18426
4,329,333,2,329,111,73038
8,325,333,2,65,111,14430
16,317,333,2,317,111,70374
25,308,333,5,154,111,85470
28,305,333,14,305,111,473970
29,304,333,29,38,111,122322
32,301,333,2,301,111,66822
40,293,333,10,293,111,325230
41,292,333,41,146,111,664446
44,289,333,22,17,111,41514
49,284,333,7,142,111,110334
50,283,333,10,283,111,314130
52,281,333,26,281,111,810966
53,280,333,53,70,111,411810
56,277,333,14,277,111,430458
58,275,333,58,55,111,354090
61,272,333,61,34,111,230214
64,269,333,2,269,111,59718
65,268,333,65,134,111,966810
68,265,333,34,265,111,1000110
73,260,333,73,130,111,1053390
76,257,333,38,257,111,1084026
77,256,333,77,2,111,17094
80,253,333,10,253,111,280830
83,250,333,83,10,111,92130
85,248,333,85,62,111,584970
88,245,333,22,35,111,85470
89,244,333,89,122,111,1205238
91,242,333,91,22,111,222222
92,241,333,46,241,111,1230546
97,236,333,97,118,111,1270506
98,235,333,14,235,111,365190
100,233,333,10,233,111,258630
101,232,333,101,58,111,650238
104,229,333,26,229,111,660894
109,224,333,109,14,111,169386
112,221,333,14,221,111,343434
113,220,333,113,110,111,1379730
116,217,333,58,217,111,1397046
121,212,333,11,106,111,129426
124,209,333,62,209,111,1438338
125,208,333,5,26,111,14430
128,205,333,2,205,111,45510
133,200,333,133,10,111,147630
136,197,333,34,197,111,743478
137,196,333,137,14,111,212898
140,193,333,70,193,111,1499610
145,188,333,145,94,111,1512930
149,184,333,149,46,111,760794
152,181,333,38,181,111,763458
157,176,333,157,22,111,383394
158,175,333,158,35,111,613830
160,173,333,10,173,111,192030
161,172,333,161,86,111,1536906
164,169,333,82,13,111,118326
4,331,335,2,331,335,221770
8,327,335,2,327,335,219090
9,326,335,3,326,335,327630
16,319,335,2,319,335,213730
27,308,335,3,154,335,154770
28,307,335,14,307,335,1439830
29,306,335,29,102,335,990930
31,304,335,31,38,335,394630
32,303,335,2,303,335,203010
36,299,335,6,299,335,600990
38,297,335,38,33,335,420090
39,296,335,39,74,335,966810
41,294,335,41,42,335,576870
46,289,335,46,17,335,261970
47,288,335,47,6,335,94470
48,287,335,6,287,335,576870
49,286,335,7,286,335,670670
54,281,335,6,281,335,564810
56,279,335,14,93,335,436170
63,272,335,21,34,335,239190
64,271,335,2,271,335,181570
71,264,335,71,66,335,1569810
72,263,335,6,263,335,528630
79,256,335,79,2,335,52930
81,254,335,3,254,335,255270
83,252,335,83,42,335,1167810
92,243,335,46,3,335,46230
93,242,335,93,22,335,685410
96,239,335,6,239,335,480390
98,237,335,14,237,335,1111530
99,236,335,33,118,335,1304490
108,227,335,6,227,335,456270
111,224,335,111,14,335,520590
112,223,335,14,223,335,1045870
119,216,335,119,6,335,239190
121,214,335,11,214,335,788590
127,208,335,127,26,335,1106170
128,207,335,2,69,335,46230
139,196,335,139,14,335,651910
143,192,335,143,6,335,287430
144,191,335,6,191,335,383910
146,189,335,146,21,335,1027110
147,188,335,21,94,335,661290
159,176,335,159,22,335,1171830
162,173,335,6,173,335,347730
164,171,335,82,57,335,1565790
166,169,335,166,13,335,722930
1,335,336,1,335,42,14070
25,311,336,5,311,42,65310
47,289,336,47,17,42,33558
61,275,336,61,55,42,140910
121,215,336,11,215,42,99330
125,211,336,5,211,42,44310
167,169,336,167,13,42,91182
1,337,338,1,337,26,8762
9,329,338,3,329,26,25662
25,313,338,5,313,26,40690
27,311,338,3,311,26,24258
41,297,338,41,33,26,35178
45,293,338,15,293,26,114270
49,289,338,7,17,26,3094
59,279,338,59,93,26,142662
63,275,338,21,55,26,30030
75,263,338,15,263,26,102570
77,261,338,77,87,26,174174
81,257,338,3,257,26,20046
93,245,338,93,35,26,84630
95,243,338,95,3,26,7410
99,239,338,33,239,26,205062
113,225,338,113,15,26,44070
121,217,338,11,217,26,62062
125,213,338,5,213,26,27690
131,207,338,131,69,26,235014
135,203,338,15,203,26,79170
147,191,338,21,191,26,104286
149,189,338,149,21,26,81354
153,185,338,51,185,26,245310
163,175,338,163,35,26,148330
167,171,338,167,57,26,247494
4,335,339,2,335,339,227130
8,331,339,2,331,339,224418
16,323,339,2,323,339,218994
25,314,339,5,314,339,532230
28,311,339,14,311,339,1476006
32,307,339,2,307,339,208146
35,304,339,35,38,339,450870
40,299,339,10,299,339,1013610
43,296,339,43,74,339,1078698
49,290,339,7,290,339,688170
50,289,339,10,17,339,57630
56,283,339,14,283,339,1343118
59,280,339,59,70,339,1400070
64,275,339,2,55,339,37290
67,272,339,67,34,339,772242
80,259,339,10,259,339,878010
83,256,339,83,2,339,56274
89,250,339,89,10,339,301710
94,245,339,94,35,339,1115310
97,242,339,97,22,339,723426
98,241,339,14,241,339,1143786
100,239,339,10,239,339,810210
112,227,339,14,227,339,1077342
115,224,339,115,14,339,545790
121,218,339,11,218,339,812922
125,214,339,5,214,339,362730
128,211,339,2,211,339,143058
131,208,339,131,26,339,1154634
139,200,339,139,10,339,471210
143,196,339,143,14,339,678678
160,179,339,10,179,339,606810
163,176,339,163,22,339,1215654
164,175,339,82,35,339,972930
169,170,339,13,170,339,749190
1,339,340,1,339,170,57630
9,331,340,3,331,170,168810
27,313,340,3,313,170,159630
43,297,340,43,33,170,241230
49,291,340,7,291,170,346290
61,279,340,61,93,170,964410
63,277,340,21,277,170,988890
79,261,340,79,87,170,1168410
81,259,340,3,259,170,132090
97,243,340,97,3,170,49470
99,241,340,33,241,170,1352010
117,223,340,39,223,170,1478490
121,219,340,11,219,170,409530
133,207,340,133,69,170,1560090
147,193,340,21,193,170,689010
151,189,340,151,21,170,539070
169,171,340,13,57,170,125970
4,337,341,2,337,341,229834
8,333,341,2,111,341,75702
9,332,341,3,166,341,169818
16,325,341,2,65,341,44330
25,316,341,5,158,341,269390
27,314,341,3,314,341,321222
28,313,341,14,313,341,1494262
29,312,341,29,78,341,771342
32,309,341,2,309,341,210738
35,306,341,35,102,341,1217370
36,305,341,6,305,341,624030
37,304,341,37,38,341,479446
40,301,341,10,301,341,1026410
41,300,341,41,30,341,419430
45,296,341,15,74,341,378510
47,294,341,47,42,341,673134
48,293,341,6,293,341,599478
49,292,341,7,146,341,348502
50,291,341,10,291,341,992310
52,289,341,26,17,341,150722
53,288,341,53,6,341,108438
54,287,341,6,287,341,587202
56,285,341,14,285,341,1360590
61,280,341,61,70,341,1456070
64,277,341,2,277,341,188914
69,272,341,69,34,341,799986
71,270,341,71,30,341,726330
72,269,341,6,269,341,550374
75,266,341,15,266,341,1360590
80,261,341,10,87,341,296670
81,260,341,3,130,341,132990
85,256,341,85,2,341,57970
89,252,341,89,42,341,1274658
91,250,341,91,10,341,310310
96,245,341,6,35,341,71610
98,243,341,14,3,341,14322
100,241,341,10,241,341,821810
101,240,341,101,30,341,1033230
108,233,341,6,233,341,476718
112,229,341,14,229,341,1093246
116,225,341,58,15,341,296670
117,224,341,39,14,341,186186
125,216,341,5,6,341,10230
128,213,341,2,213,341,145266
133,208,341,133,26,341,1179178
135,206,341,15,206,341,1053690
141,200,341,141,10,341,480810
144,197,341,6,197,341,403062
145,196,341,145,14,341,692230
147,194,341,21,194,341,1389234
149,192,341,149,6,341,304854
152,189,341,38,21,341,272118
160,181,341,10,181,341,617210
162,179,341,6,179,341,366234
169,172,341,13,86,341,381238
1,341,342,1,341,114,38874
25,317,342,5,317,114,180690
49,293,342,7,293,114,233814
53,289,342,53,17,114,102714
67,275,342,67,55,114,420090
97,245,342,97,35,114,387030
121,221,342,11,221,114,277134
125,217,342,5,217,114,123690
167,175,342,167,35,114,666330
169,173,342,13,173,114,256386
1,342,343,1,114,7,798
4,339,343,2,339,7,4746
8,335,343,2,335,7,4690
9,334,343,3,334,7,7014
16,327,343,2,327,7,4578
25,318,343,5,318,7,11130
27,316,343,3,158,7,3318
31,312,343,31,78,7,16926
32,311,343,2,311,7,4354
36,307,343,6,307,7,12894
37,306,343,37,102,7,26418
39,304,343,39,38,7,10374
40,303,343,10,303,7,21210
43,300,343,43,30,7,9030
44,299,343,22,299,7,46046
45,298,343,15,298,7,31290
46,297,343,46,33,7,10626
47,296,343,47,74,7,24346
48,295,343,6,295,7,12390
50,293,343,10,293,7,20510
51,292,343,51,146,7,52122
52,291,343,26,291,7,52962
54,289,343,6,17,7,714
55,288,343,55,6,7,2310
59,284,343,59,142,7,58646
60,283,343,30,283,7,59430
64,279,343,2,93,7,1302
67,276,343,67,138,7,64722
68,275,343,34,55,7,13090
71,272,343,71,34,7,16898
72,271,343,6,271,7,11382
73,270,343,73,30,7,15330
75,268,343,15,134,7,14070
76,267,343,38,267,7,71022
79,264,343,79,66,7,36498
80,263,343,10,263,7,18410
81,262,343,3,262,7,5502
82,261,343,82,87,7,49938
83,260,343,83,130,7,75530
87,256,343,87,2,7,1218
88,255,343,22,255,7,39270
90,253,343,30,253,7,53130
92,251,343,46,251,7,80822
93,250,343,93,10,7,6510
95,248,343,95,62,7,41230
96,247,343,6,247,7,10374
99,244,343,33,122,7,28182
100,243,343,10,3,7,210
101,242,343,101,22,7,15554
103,240,343,103,30,7,21630
104,239,343,26,239,7,43498
107,236,343,107,118,7,88382
108,235,343,6,235,7,9870
109,234,343,109,78,7,59514
111,232,343,111,58,7,45066
115,228,343,115,114,7,91770
116,227,343,58,227,7,92162
117,226,343,39,226,7,61698
118,225,343,118,15,7,12390
120,223,343,30,223,7,46830
121,222,343,11,222,7,17094
123,220,343,123,110,7,94710
124,219,343,62,219,7,95046
125,218,343,5,218,7,7630
127,216,343,127,6,7,5334
128,215,343,2,215,7,3010
131,212,343,131,106,7,97202
132,211,343,66,211,7,97482
135,208,343,15,26,7,2730
136,207,343,34,69,7,16422
139,204,343,139,102,7,99246
143,200,343,143,10,7,10010
144,199,343,6,199,7,8358
145,198,343,145,66,7,66990
148,195,343,74,195,7,101010
150,193,343,30,193,7,40530
151,192,343,151,6,7,6342
152,191,343,38,191,7,50806
153,190,343,51,190,7,67830
155,188,343,155,94,7,101990
156,187,343,78,187,7,102102
159,184,343,159,46,7,51198
160,183,343,10,183,7,12810
162,181,343,6,181,7,7602
163,180,343,163,30,7,34230
164,179,343,82,179,7,102746
167,176,343,167,22,7,25718
169,174,343,13,174,7,15834
171,172,343,57,86,7,34314
1,343,344,1,7,86,602
9,335,344,3,335,86,86430
25,319,344,5,319,86,137170
27,317,344,3,317,86,81786
29,315,344,29,105,86,261870
45,299,344,15,299,86,385710
47,297,344,47,33,86,133386
49,295,344,7,295,86,177590
55,289,344,55,17,86,80410
63,281,344,21,281,86,507486
65,279,344,65,93,86,519870
69,275,344,69,55,86,326370
75,269,344,15,269,86,347010
81,263,344,3,263,86,67854
83,261,344,83,87,86,621006
99,245,344,33,35,86,99330
101,243,344,101,3,86,26058
117,227,344,39,227,86,761358
119,225,344,119,15,86,153510
121,223,344,11,223,86,210958
125,219,344,5,219,86,94170
135,209,344,15,209,86,269610
137,207,344,137,69,86,812958
147,197,344,21,197,86,355782
153,191,344,51,191,86,837726
155,189,344,155,21,86,279930
169,175,344,13,35,86,39130
171,173,344,57,173,86,848046
4,341,345,2,341,345,235290
8,337,345,2,337,345,232530
16,329,345,2,329,345,227010
29,316,345,29,158,345,1580790
32,313,345,2,313,345,215970
41,304,345,41,38,345,537510
49,296,345,7,74,345,178710
56,289,345,14,17,345,82110
64,281,345,2,281,345,193890
73,272,345,73,34,345,856290
89,256,345,89,2,345,61410
98,247,345,14,247,345,1193010
103,242,345,103,22,345,781770
112,233,345,14,233,345,1125390
121,224,345,11,14,345,53130
128,217,345,2,217,345,149730
137,208,345,137,26,345,1228890
149,196,345,149,14,345,719670
169,176,345,13,22,345,98670
1,347,348,1,347,174,60378
25,323,348,5,323,174,281010
49,299,348,7,299,174,364182
