d,r,e,a,b,n
2044,1,2044,31,2156,2187
2044,1,2044,891,1372,2263
2044,1,2044,8,2401,2409
2044,1,2044,961,1701,2662
2044,1,2044,121,3456,3577
2044,1,2044,1,3968,3969
2044,1,2044,121,5208,5329
2044,1,2044,16,5913,5929
2044,1,2044,1232,5329,6561
2044,1,2044,2263,5929,8192
2044,1,2044,27,9317,9344
2044,1,2044,121,10512,10633
2044,1,2044,1519,13122,14641
2044,1,2044,7168,10571,17739
2044,1,2044,2511,22528,25039
2044,1,2044,4752,25039,29791
2044,1,2044,31,41472,41503
2046,3,682,3,3968,3971
2050,1,2050,9,3116,3125
2050,1,2050,1444,1681,3125
2050,1,2050,625,2624,3249
2050,1,2050,1,6560,6561
2050,1,2050,135,6724,6859
2052,1,2052,64,2133,2197
2052,1,2052,1024,2187,3211
2052,1,2052,79,3249,3328
2052,1,2052,1027,5832,6859
2052,9,228,2,2185,2187
2052,9,228,512,1863,2375
2052,9,228,243,2645,2888
2058,1,2058,1,2400,2401
2058,1,2058,515,2401,2916
2058,1,2058,512,2575,3087
2058,1,2058,721,3375,4096
2058,1,2058,1,4374,4375
2058,1,2058,103,5000,5103
2058,1,2058,343,8000,8343
2058,1,2058,25,10584,10609
2060,2,1030,344,2781,3125
2060,2,1030,160,10449,10609
2064,2,1032,22,2187,2209
2064,2,1032,2048,2209,4257
2064,3,688,688,2187,2875
2064,3,688,2645,5547,8192
2064,4,516,1032,1369,2401
2064,4,516,2187,7396,9583
2064,8,258,338,1849,2187
2064,8,258,10,2187,2197
2064,8,258,172,2025,2197
2064,8,258,125,2197,2322
2064,8,258,129,4096,4225
2068,1,2068,1,2115,2116
2068,1,2068,25,2162,2187
2068,1,2068,1012,1175,2187
2068,1,2068,1,2208,2209
2068,1,2068,9,2200,2209
2068,1,2068,22,2187,2209
2068,1,2068,184,2025,2209
2068,1,2068,484,1725,2209
2068,1,2068,625,1584,2209
2068,1,2068,275,2209,2484
2068,1,2068,625,2048,2673
2068,1,2068,225,2783,3008
2068,1,2068,363,2645,3008
2068,1,2068,81,2944,3025
2068,1,2068,1081,1944,3025
2068,1,2068,47,3025,3072
2068,1,2068,23,3102,3125
2068,1,2068,1058,2209,3267
2068,1,2068,1024,2783,3807
2068,1,2068,625,4136,4761
2068,1,2068,81,5324,5405
2068,1,2068,512,5175,5687
2068,1,2068,243,5632,5875
2068,1,2068,529,5346,5875
2068,1,2068,256,5819,6075
2068,1,2068,94,6561,6655
2068,1,2068,135,12032,12167
2068,1,2068,188,11979,12167
2068,1,2068,5687,6480,12167
2068,1,2068,121,12167,12288
2068,1,2068,6016,8625,14641
2068,1,2068,759,15625,16384
2068,1,2068,6655,9729,16384
2068,1,2068,1,24299,24300
2068,1,2068,9375,15488,24863
2068,1,2068,47,25000,25047
2068,1,2068,1331,42849,44180
2070,1,2070,115,2072,2187
2070,1,2070,343,2025,2368
2070,1,2070,1,2400,2401
2070,1,2070,625,1776,2401
2070,1,2070,736,1665,2401
2070,1,2070,7,2553,2560
2070,1,2070,1,2645,2646
2070,1,2070,875,1863,2738
2070,1,2070,1369,1575,2944
2070,1,2070,128,2997,3125
2070,1,2070,1127,1998,3125
2070,1,2070,49,3125,3174
2070,1,2070,256,3125,3381
2070,1,2070,3,3700,3703
2070,1,2070,185,3703,3888
2070,1,2070,1813,2187,4000
2070,1,2070,125,4107,4232
2070,1,2070,1,4374,4375
2070,1,2070,529,4096,4625
2070,1,2070,25,4736,4761
2070,1,2070,343,4625,4968
2070,1,2070,125,5832,5957
2070,1,2070,161,6400,6561
2070,1,2070,111,7889,8000
2070,1,2070,111,8464,8575
2070,1,2070,25,8991,9016
2070,1,2070,851,10125,10976
2070,1,2070,2401,9375,11776
2070,1,2070,162,12005,12167
2070,1,2070,512,11655,12167
2070,1,2070,1215,10952,12167
2070,1,2070,333,12167,12500
2070,1,2070,5,12691,12696
2070,1,2070,6845,8464,15309
2070,1,2070,8192,8575,16767
2070,1,2070,40,16767,16807
2070,1,2070,27,19573,19600
2070,1,2070,925,19683,20608
2070,1,2070,1,25920,25921
2070,1,2070,1,28749,28750
2070,1,2070,37,32768,32805
2070,3,690,575,4096,4671
2070,5,414,81,2116,2197
2070,5,414,1,3887,3888
2070,15,138,1,2400,2401
2070,15,138,1,2645,2646
2070,15,138,49,3125,3174
2072,4,518,125,2072,2197
2072,4,518,4,2401,2405
2072,4,518,128,6125,6253
2072,14,148,128,2997,3125
2076,2,1038,10,2187,2197
2076,2,1038,640,1557,2197
2076,2,1038,1,2249,2250
2080,1,2080,10,2187,2197
2080,1,2080,2,3123,3125
2080,1,2080,169,10935,11104
2080,4,520,10,2187,2197
2080,4,520,928,2197,3125
2080,4,520,169,3456,3625
2080,4,520,841,3159,4000
2080,4,520,169,4205,4374
2080,4,520,2,10933,10935
2080,10,208,10,2187,2197
2080,10,208,405,1792,2197
2080,10,208,972,1225,2197
2080,10,208,8,2197,2205
2080,10,208,1,2400,2401
2080,10,208,875,2197,3072
2080,10,208,1,4095,4096
2080,10,208,256,3969,4225
2080,10,208,1,4374,4375
2080,16,130,10,2187,2197
2080,16,130,3,2197,2200
2080,16,130,13,2187,2200
2080,16,130,363,2197,2560
2080,16,130,625,2048,2673
2088,1,2088,841,1458,2299
2088,1,2088,5,2299,2304
2088,1,2088,50,2299,2349
2088,1,2088,1044,1331,2375
2088,1,2088,1,2375,2376
2088,1,2088,475,2048,2523
2088,1,2088,261,2299,2560
2088,1,2088,475,2187,2662
2088,1,2088,625,2048,2673
2088,1,2088,209,2916,3125
2088,1,2088,512,2755,3267
2088,1,2088,11,3364,3375
2088,1,2088,384,3125,3509
2088,1,2088,29,3971,4000
2088,1,2088,125,3971,4096
2088,1,2088,29,4096,4125
2088,1,2088,19,4205,4224
2088,1,2088,500,6061,6561
2088,1,2088,16,6859,6875
2088,1,2088,1,7424,7425
2088,1,2088,19,8000,8019
2088,1,2088,1160,6859,8019
2088,1,2088,3509,6859,10368
2088,1,2088,5120,6859,11979
2088,1,2088,3249,9251,12500
2088,1,2088,3712,11913,15625
2088,1,2088,4000,11979,15979
2088,1,2088,405,15979,16384
2088,1,2088,1331,18125,19456
2088,1,2088,4096,16929,21025
2088,1,2088,361,24389,24750
2088,1,2088,900,24389,25289
2088,1,2088,15125,15979,31104
2088,1,2088,9025,26912,35937
2088,1,2088,14641,26912,41553
2088,1,2088,6561,37120,43681
2088,1,2088,20736,24389,45125
2088,6,348,1,2400,2401
2088,6,348,81,2320,2401
2088,6,348,29,2401,2430
2088,6,348,7,3125,3132
2088,6,348,625,3087,3712
2088,6,348,1,4374,4375
2090,1,2090,125,3971,4096
2090,1,2090,16,6859,6875
2090,5,418,49,2250,2299
2090,5,418,112,2187,2299
2090,5,418,5,2299,2304
2090,5,418,1,2375,2376
2090,5,418,1,2400,2401
2090,5,418,25,2376,2401
2090,5,418,121,2280,2401
2090,5,418,729,1672,2401
2090,5,418,1026,1375,2401
2090,5,418,19,2401,2420
2090,5,418,245,2187,2432
2090,5,418,99,2401,2500
2090,5,418,27,2500,2527
2090,5,418,1152,1375,2527
2090,5,418,19,2541,2560
2090,5,418,33,2527,2560
2090,5,418,135,2527,2662
2090,5,418,475,2187,2662
2090,5,418,625,2048,2673
2090,5,418,441,2375,2816
2090,5,418,19,2816,2835
2090,5,418,1,3024,3025
2090,5,418,38,3087,3125
2090,5,418,209,2916,3125
2090,5,418,693,2432,3125
2090,5,418,1,3135,3136
2090,5,418,11,3125,3136
2090,5,418,1331,1805,3136
2090,5,418,49,3200,3249
2090,5,418,224,3025,3249
2090,5,418,209,3375,3584
2090,5,418,343,3267,3610
2090,5,418,125,3648,3773
2090,5,418,128,3645,3773
2090,5,418,648,3125,3773
2090,5,418,27,3773,3800
2090,5,418,625,3344,3969
2090,5,418,2,3969,3971
2090,5,418,7,3993,4000
2090,5,418,1701,2299,4000
2090,5,418,125,3971,4096
2090,5,418,847,3249,4096
2090,5,418,2048,2187,4235
2090,5,418,1,4374,4375
2090,5,418,19,4356,4375
2090,5,418,242,4375,4617
2090,5,418,1029,3971,5000
2090,5,418,7,5625,5632
2090,5,418,1,5775,5776
2090,5,418,2401,3375,5776
2090,5,418,304,5625,5929
2090,5,418,19,6125,6144
2090,5,418,44,6517,6561
2090,5,418,55,6804,6859
2090,5,418,784,6075,6859
2090,5,418,1,6859,6860
2090,5,418,16,6859,6875
2090,5,418,625,6272,6897
2090,5,418,513,6655,7168
2090,5,418,1331,6250,7581
2090,5,418,49,7695,7744
2090,5,418,19,8000,8019
2090,5,418,2464,6561,9025
2090,5,418,1125,8192,9317
2090,5,418,1,9800,9801
2096,2,1048,1,2400,2401
2096,2,1048,1029,2096,3125
2096,2,1048,1,4374,4375
2096,2,1048,9,16375,16384
2096,2,1048,432,16375,16807
2096,2,1048,1536,15625,17161
2098,1,2098,1,2400,2401
2098,1,2098,1,4374,4375
2098,1,2098,1049,4096,5145
2098,1,2098,243,5245,5488
2098,1,2098,3125,3147,6272
2100,1,2100,1,2400,2401
2100,1,2100,1051,1350,2401
2100,1,2100,28,3125,3153
2100,1,2100,1,4374,4375
2100,1,2100,9,16807,16816
2100,2,1050,1,2400,2401
2100,2,1050,526,1875,2401
2100,2,1050,263,2187,2450
2100,2,1050,1,4374,4375
2100,2,1050,14,6561,6575
2100,2,1050,25,16807,16832
2100,2,1050,1841,16384,18225
2100,3,700,10,2187,2197
2100,3,700,405,1792,2197
2100,3,700,972,1225,2197
2100,3,700,8,2197,2205
2100,3,700,1,2400,2401
2100,3,700,875,2197,3072
2100,3,700,1,4095,4096
2100,3,700,256,3969,4225
2100,3,700,1,4374,4375
2100,3,700,2401,4160,6561
2100,3,700,1183,8192,9375
2100,3,700,9,10976,10985
2100,5,420,1,2400,2401
2100,5,420,1,3375,3376
2100,5,420,1055,2401,3456
2100,5,420,844,3125,3969
2100,5,420,1,4374,4375
2100,6,350,11,3125,3136
2100,10,210,53,2187,2240
2100,10,210,1,2400,2401
2100,10,210,16,2385,2401
2100,10,210,159,2401,2560
2100,10,210,5,2592,2597
2100,10,210,9,2800,2809
2100,10,210,784,2025,2809
2100,10,210,53,3072,3125
2100,10,210,1,4374,4375
2100,21,100,125,2187,2312
2106,1,2106,31,19652,19683
2108,2,1054,11,2176,2187
2108,2,1054,992,2187,3179
2108,2,1054,31,19652,19683
2110,1,2110,625,2048,2673
2110,1,2110,1,3375,3376
2112,2,1056,121,12167,12288
2112,4,528,625,2048,2673
2112,4,528,1,2915,2916
2112,4,528,216,2809,3025
2112,4,528,53,3072,3125
2112,4,528,125,3267,3392
2112,4,528,121,3975,4096
2112,4,528,2809,2816,5625
2112,4,528,64,6561,6625
2112,6,352,512,3481,3993
2112,8,264,112,2187,2299
2112,8,264,729,1672,2401
2112,8,264,2,3969,3971
2112,8,264,847,3249,4096
2118,1,2118,15,2809,2824
2118,1,2118,53,3072,3125
2118,1,2118,64,6561,6625
2120,2,1060,53,3072,3125
2120,2,1060,2,3125,3127
2120,2,1060,25,3456,3481
2120,2,1060,106,3375,3481
2120,2,1060,64,6561,6625
2120,2,1060,3125,10443,13568
2120,4,530,3125,3392,6517
2120,4,530,1,6859,6860
2124,2,1062,59,2128,2187
2124,2,1062,513,1888,2401
2124,2,1062,3,2888,2891
2124,2,1062,243,3481,3724
2124,2,1062,3584,6859,10443
2124,2,1062,1,14336,14337
2124,3,708,25,3456,3481
2124,3,708,4096,4779,8875
2128,1,2128,71,2304,2375
2128,1,2128,1,2400,2401
2128,1,2128,245,2187,2432
2128,1,2128,27,2500,2527
2128,1,2128,639,2401,3040
2128,1,2128,38,3087,3125
2128,1,2128,49,3200,3249
2128,1,2128,1349,2401,3750
2128,1,2128,361,3479,3840
2128,1,2128,49,4047,4096
2128,1,2128,625,3479,4104
2128,1,2128,1,4374,4375
2128,1,2128,1,5040,5041
2128,1,2128,945,4096,5041
2128,1,2128,1792,3249,5041
2128,1,2128,25,5751,5776
2128,1,2128,735,5041,5776
2128,1,2128,2401,3375,5776
2128,1,2128,729,5396,6125
2128,1,2128,19,6125,6144
2128,1,2128,1520,5041,6561
2128,1,2128,784,6075,6859
2128,1,2128,2485,4374,6859
2128,1,2128,1,6859,6860
2128,1,2128,497,7695,8192
2128,1,2128,2016,6859,8875
2128,1,2128,63,9025,9088
2128,1,2128,513,8575,9088
2128,1,2128,2527,6561,9088
2128,1,2128,19,9585,9604
2128,1,2128,729,8875,9604
2128,1,2128,32,11875,11907
2128,1,2128,355,11552,11907
2128,1,2128,729,14896,15625
2128,1,2128,5041,10584,15625
2128,1,2128,49,18176,18225
2128,1,2128,475,19208,19683
2128,1,2128,9443,10240,19683
2128,1,2128,2401,18176,20577
2128,1,2128,25,21584,21609
2128,1,2128,1225,40328,41553
2128,1,2128,250,45369,45619
2128,4,532,2,2401,2403
2128,4,532,256,4361,4617
2128,4,532,2187,7921,10108
2130,1,2130,10,2187,2197
2130,1,2130,75,2197,2272
2130,1,2130,351,2560,2911
2130,1,2130,5,2911,2916
2130,1,2130,533,2592,3125
2130,1,2130,41,3159,3200
2130,1,2130,71,3250,3321
2130,1,2130,13,3362,3375
2130,1,2130,1681,1775,3456
2130,1,2130,41,5000,5041
2130,1,2130,2,5041,5043
2130,1,2130,13,5112,5125
2130,1,2130,1681,4394,6075
2130,1,2130,1,6560,6561
2130,1,2130,3159,5041,8200
2130,1,2130,213,8192,8405
2130,1,2130,2624,9375,11999
2130,1,2130,1,11999,12000
2130,1,2130,1,26624,26625
2134,1,2134,64,7857,7921
2134,1,2134,2848,6561,9409
2136,2,1068,324,11125,11449
2136,2,1068,7704,7921,15625
2136,3,712,89,2312,2401
2136,3,712,1024,1377,2401
2136,3,712,2,2401,2403
2136,3,712,9,4352,4361
2136,3,712,1,5831,5832
2136,3,712,289,6272,6561
2136,3,712,17,7921,7938
2140,1,2140,107,2205,2312
2140,1,2140,125,2187,2312
2140,1,2140,1,2400,2401
2140,1,2140,214,2187,2401
2140,1,2140,225,2176,2401
2140,1,2140,1024,1377,2401
2140,1,2140,1,2499,2500
2140,1,2140,200,2401,2601
2140,1,2140,1,2889,2890
2140,1,2140,535,2601,3136
2140,1,2140,49,3375,3424
2140,1,2140,343,3125,3468
2140,1,2140,459,3125,3584
2140,1,2140,7,3638,3645
2140,1,2140,289,3456,3745
2140,1,2140,35,4096,4131
2140,1,2140,1,4374,4375
2140,1,2140,98,4815,4913
2140,1,2140,17,5103,5120
2140,1,2140,243,5000,5243
2140,1,2140,1,5831,5832
2140,1,2140,289,6272,6561
2140,1,2140,2560,5243,7803
2140,1,2140,3087,4913,8000
2140,1,2140,25,11424,11449
2140,1,2140,107,12393,12500
2140,1,2140,1819,12005,13824
2140,1,2140,68,16807,16875
2140,1,2140,5831,11449,17280
2140,1,2140,4624,26001,30625
2140,1,2140,576,36125,36701
2140,1,2140,11449,32768,44217
2142,1,2142,1024,1377,2401
2142,1,2142,119,4489,4608
2142,1,2142,1,5831,5832
2142,1,2142,289,6272,6561
2142,3,714,1024,1377,2401
2142,3,714,1,5831,5832
2142,3,714,289,6272,6561
2142,3,714,833,5728,6561
2142,3,714,3043,6561,9604
2142,7,306,11,2176,2187
2142,7,306,289,2112,2401
2142,7,306,1024,1377,2401
2142,7,306,272,2401,2673
2142,7,306,539,4374,4913
2142,7,306,1,5831,5832
2142,7,306,289,6272,6561
2142,9,238,125,2187,2312
2142,9,238,1,2400,2401
2142,9,238,225,2176,2401
2142,9,238,1024,1377,2401
2142,9,238,1,2499,2500
2142,9,238,200,2401,2601
2142,9,238,343,3125,3468
2142,9,238,459,3125,3584
2142,9,238,35,4096,4131
2142,9,238,1,4374,4375
2142,9,238,17,5103,5120
2144,8,268,512,1675,2187
2148,1,2148,358,3125,3483
2154,1,2154,147,3949,4096
2154,1,2154,2401,3231,5632
2154,3,718,1077,2048,3125
2156,2,1078,1,2400,2401
2156,2,1078,25,2376,2401
2156,2,1078,99,2401,2500
2156,2,1078,625,2048,2673
2156,2,1078,1,3024,3025
2156,2,1078,11,3125,3136
2156,2,1078,128,3645,3773
2156,2,1078,648,3125,3773
2156,2,1078,7,3993,4000
2156,2,1078,2048,2187,4235
2156,2,1078,1,4374,4375
2156,2,1078,7,5625,5632
2156,2,1078,1125,8192,9317
2156,2,1078,1,9800,9801
2156,2,1078,1331,9604,10935
2156,2,1078,49,16335,16384
2156,2,1078,3584,14641,18225
2156,7,308,11,3125,3136
2156,14,154,343,2816,3159
2156,14,154,1331,2197,3528
2158,1,2158,10,2187,2197
2158,1,2158,83,3042,3125
2158,1,2158,2187,3125,5312
2158,1,2158,4096,6889,10985
2158,1,2158,169,20000,20169
2160,1,2160,25,2162,2187
2160,1,2160,1,2208,2209
2160,1,2160,184,2025,2209
2160,1,2160,135,12032,12167
2160,5,432,1,3968,3969
2160,8,270,125,2187,2312
2160,9,240,625,2048,2673
2160,12,180,10,2187,2197
2160,12,180,405,1792,2197
2160,12,180,972,1225,2197
2160,12,180,8,2197,2205
2160,12,180,1,2400,2401
2160,12,180,875,2197,3072
2160,12,180,1,4095,4096
2166,1,2166,19,2168,2187
2168,1,2168,5,16802,16807
2170,1,2170,1,2400,2401
2170,1,2170,961,1440,2401
2170,1,2170,49,2511,2560
2170,1,2170,724,2401,3125
2170,1,2170,625,2511,3136
2170,1,2170,1,3968,3969
2170,1,2170,125,3844,3969
2170,1,2170,31,3969,4000
2170,1,2170,1,4374,4375
2170,1,2170,31,4344,4375
2170,1,2170,279,4096,4375
2170,1,2170,32,4525,4557
2170,1,2170,3,4802,4805
2170,1,2170,512,4375,4887
2170,1,2170,14,5611,5625
2170,1,2170,1,6075,6076
2170,1,2170,961,5600,6561
2170,1,2170,181,7595,7776
2170,1,2170,1,15624,15625
2170,1,2170,9050,10633,19683
2170,1,2170,181,20000,20181
2170,1,2170,724,21875,22599
2170,1,2170,5792,16807,22599
2170,1,2170,2401,22599,25000
2170,1,2170,7,32761,32768
2170,1,2170,5611,32805,38416
2170,1,2170,31,46305,46336
2170,7,310,10,2187,2197
2170,7,310,128,2197,2325
2170,7,310,13,3875,3888
2176,1,2176,11,2176,2187
2176,4,544,21,2176,2197
2176,4,544,204,2197,2401
2176,4,544,1024,1377,2401
2176,4,544,686,2187,2873
2176,4,544,1,4913,4914
2176,4,544,1,5831,5832
2176,4,544,289,6272,6561
2176,4,544,13,9248,9261
2178,1,2178,625,2048,2673
2178,1,2178,109,2916,3025
2178,1,2178,363,3125,3488
2178,1,2178,1,11880,11881
2178,3,726,343,2816,3159
2178,3,726,1331,2197,3528
2178,3,726,363,4096,4459
2178,3,726,1183,6561,7744
2178,3,726,1,10647,10648
2178,11,198,625,2048,2673
2180,2,1090,7,2180,2187
2180,2,1090,10,2187,2197
2180,2,1090,405,1792,2197
2180,2,1090,972,1225,2197
2180,2,1090,8,2197,2205
2180,2,1090,625,1664,2289
2180,2,1090,1,2400,2401
2180,2,1090,21,2704,2725
2180,2,1090,324,2401,2725
2180,2,1090,1024,1701,2725
2180,2,1090,1,2834,2835
2180,2,1090,343,2600,2943
2180,2,1090,875,2197,3072
2180,2,1090,182,2943,3125
2180,2,1090,763,3125,3888
2180,2,1090,1,4095,4096
2180,2,1090,109,4116,4225
2180,2,1090,256,3969,4225
2180,2,1090,1,4374,4375
2180,2,1090,436,6125,6561
2180,2,1090,2401,4160,6561
2180,2,1090,1250,5341,6591
2180,2,1090,2943,4225,7168
2180,2,1090,637,8192,8829
2180,2,1090,2704,6125,8829
2180,2,1090,1183,8192,9375
2180,2,1090,81,9919,10000
2180,2,1090,763,9477,10240
2180,2,1090,9,10976,10985
2180,2,1090,896,10985,11881
2180,2,1090,3600,8281,11881
2180,2,1090,26,11881,11907
2180,2,1090,64,13625,13689
2180,2,1090,2744,11881,14625
2180,2,1090,3744,11881,15625
2180,2,1090,196,18225,18421
2180,2,1090,1625,16807,18432
2180,2,1090,243,21632,21875
2182,1,2182,2197,4364,6561
2182,1,2182,1091,10816,11907
2182,1,2182,896,28561,29457
2184,1,2184,49,3279,3328
2184,2,1092,1,2187,2188
2184,2,1092,9,2188,2197
2184,2,1092,547,2197,2744
2184,2,1092,547,3549,4096
2184,2,1092,547,6656,7203
2184,3,728,65,2336,2401
2184,4,546,2187,2197,4384
2184,6,364,1,2196,2197
2184,6,364,2197,2744,4941
2184,13,168,125,2187,2312
2184,13,168,1,2400,2401
2184,13,168,225,2176,2401
2184,13,168,1024,1377,2401
2184,13,168,1,2499,2500
2184,13,168,200,2401,2601
2184,13,168,343,3125,3468
2184,13,168,459,3125,3584
2184,14,156,64,2133,2197
2188,1,2188,73,15552,15625
2190,1,2190,1233,4096,5329
2190,1,2190,1,10000,10001
2190,1,2190,73,15552,15625
2190,1,2190,81,18688,18769
2190,3,730,375,3721,4096
2190,3,730,9,15616,15625
2190,3,730,73,15552,15625
2190,5,438,625,2048,2673
2190,5,438,81,4015,4096
2190,5,438,5,5324,5329
2190,5,438,2304,3025,5329
2196,1,2196,27,9577,9604
2196,2,1098,625,2048,2673
2196,2,1098,121,3600,3721
2196,2,1098,375,3721,4096
2196,2,1098,1,14640,14641
2196,2,1098,61,14580,14641
2196,2,1098,243,14641,14884
2196,2,1098,9,15616,15625
2198,1,2198,11,3125,3136
2200,1,2200,625,2048,2673
2200,2,1100,29,3971,4000
2200,2,1100,125,3971,4096
2200,2,1100,16,6859,6875
2200,2,1100,1331,18125,19456
2200,4,550,625,2048,2673
2200,4,550,81,2944,3025
2200,4,550,256,5819,6075
2200,4,550,121,12167,12288
2200,5,440,1,6655,6656
2200,10,220,625,2048,2673
2200,10,220,1331,1369,2700
2200,10,220,128,2997,3125
2200,10,220,11,4096,4107
2204,2,1102,361,12167,12528
2204,2,1102,6859,7424,14283
2208,1,2208,115,2197,2312
2208,1,2208,125,2187,2312
2208,1,2208,1,2600,2601
2208,1,2208,2,2873,2875
2208,1,2208,3,3125,3128
2208,1,2208,34,3125,3159
2208,1,2208,512,3375,3887
2208,1,2208,1700,2187,3887
2208,1,2208,1,3887,3888
2208,1,2208,243,3757,4000
2208,1,2208,1495,2601,4096
2208,1,2208,207,4913,5120
2208,1,2208,64,5525,5589
2208,1,2208,676,4913,5589
2208,1,2208,975,4913,5888
2208,1,2208,1587,4913,6500
2208,1,2208,9,6647,6656
2208,1,2208,8,6877,6885
2208,1,2208,1564,6561,8125
2208,1,2208,2197,7803,10000
2208,1,2208,299,9826,10125
2208,1,2208,17,12150,12167
2208,1,2208,675,11492,12167
2208,1,2208,1,12167,12168
2208,1,2208,169,13056,13225
2208,1,2208,832,12393,13225
2208,1,2208,6877,8748,15625
2208,1,2208,3159,13225,16384
2208,1,2208,3125,14283,17408
2208,1,2208,4913,13312,18225
2208,1,2208,2197,16928,19125
2208,1,2208,23,27625,27648
2208,1,2208,5,28561,28566
2208,1,2208,12167,28900,41067
2208,2,1104,6241,10143,16384
2208,6,368,529,4096,4625
2208,16,138,1,2400,2401
2208,16,138,1,2645,2646
2210,1,2210,632,3125,3757
2210,1,2210,289,3871,4160
2210,1,2210,13,4900,4913
2210,1,2210,833,5408,6241
2210,1,2210,49,9826,9875
2210,1,2210,2401,16384,18785
2210,1,2210,6241,12544,18785
2210,1,2210,8,31205,31213
2210,17,130,363,2197,2560
2210,17,130,625,2048,2673
2214,3,738,128,2997,3125
2214,3,738,1,6560,6561
2214,3,738,1024,6561,7585
2214,3,738,37,9963,10000
2216,2,1108,125,2368,2493
2216,2,1108,128,2997,3125
2216,2,1108,9,10240,10249
2218,1,2218,128,2997,3125
2218,1,2218,37,32768,32805
2220,1,2220,148,2525,2673
2220,1,2220,625,2048,2673
2220,1,2220,1331,1369,2700
2220,1,2220,11,2727,2738
2220,1,2220,128,2997,3125
2220,1,2220,135,3737,3872
2220,1,2220,256,3737,3993
2220,1,2220,1369,2727,4096
2220,1,2220,11,4096,4107
2220,1,2220,1936,4625,6561
2220,1,2220,37,6875,6912
2220,1,2220,11,8181,8192
2220,1,2220,3737,4455,8192
2220,1,2220,1,9999,10000
2220,1,2220,400,9801,10201
2220,1,2220,729,9472,10201
2220,1,2220,1210,8991,10201
2220,1,2220,4096,6105,10201
2220,1,2220,100,12221,12321
2220,1,2220,4440,10201,14641
2220,1,2220,6561,8080,14641
2220,1,2220,1369,14256,15625
2220,1,2220,1369,25856,27225
2220,1,2220,37,32768,32805
2220,1,2220,101,44955,45056
2220,2,1110,37,2187,2224
2220,2,1110,128,2997,3125
2220,3,740,37,2560,2597
2220,6,370,128,2997,3125
2220,15,148,128,2997,3125
2224,1,2224,278,2809,3087
2224,1,2224,343,3753,4096
2224,1,2224,27,6784,6811
2226,1,2226,557,2187,2744
2226,1,2226,3899,4293,8192
2226,3,742,217,2592,2809
2226,3,742,1,3968,3969
2226,7,318,53,3072,3125
2226,7,318,64,6561,6625
2230,1,2230,223,3125,3348
2230,1,2230,1,6912,6913
2230,1,2230,8192,19683,27875
2232,4,558,1,2400,2401
2232,4,558,961,1440,2401
2232,4,558,49,2511,2560
2232,4,558,625,2511,3136
2232,4,558,1,3968,3969
2232,4,558,125,3844,3969
2232,4,558,31,3969,4000
2232,4,558,1,4374,4375
2232,4,558,279,4096,4375
2232,4,558,3,4802,4805
2232,4,558,1,6075,6076
2232,4,558,961,5600,6561
2232,6,372,992,2187,3179
2236,2,1118,43,2197,2240
2238,1,2238,1,2400,2401
2238,1,2238,373,2187,2560
2238,1,2238,1,4374,4375
2238,1,2238,343,5625,5968
2238,1,2238,64,9261,9325
2240,1,2240,1121,1280,2401
2240,1,2240,19,3481,3500
2240,1,2240,1,6859,6860
2240,2,1120,125,2187,2312
2240,2,1120,343,2057,2400
2240,2,1120,1,2400,2401
2240,2,1120,25,2376,2401
2240,2,1120,225,2176,2401
2240,2,1120,289,2112,2401
2240,2,1120,1024,1377,2401
2240,2,1120,1,2499,2500
2240,2,1120,99,2401,2500
2240,2,1120,200,2401,2601
2240,2,1120,272,2401,2673
2240,2,1120,625,2048,2673
2240,2,1120,1,3024,3025
2240,2,1120,425,2662,3087
2240,2,1120,11,3125,3136
2240,2,1120,54,3125,3179
2240,2,1120,729,2450,3179
2240,2,1120,875,2304,3179
2240,2,1120,21,3179,3200
2240,2,1120,88,3125,3213
2240,2,1120,196,3179,3375
2240,2,1120,1331,2125,3456
2240,2,1120,343,3125,3468
2240,2,1120,405,3179,3584
2240,2,1120,459,3125,3584
2240,2,1120,128,3645,3773
2240,2,1120,648,3125,3773
2240,2,1120,7,3993,4000
2240,2,1120,1071,3025,4096
2240,2,1120,35,4096,4131
2240,2,1120,1331,2800,4131
2240,2,1120,2048,2187,4235
2240,2,1120,2125,2187,4312
2240,2,1120,1,4374,4375
2240,2,1120,539,4374,4913
2240,2,1120,2240,2673,4913
2240,2,1120,15,4913,4928
2240,2,1120,49,5000,5049
2240,2,1120,17,5103,5120
2240,2,1120,7,5625,5632
2240,2,1120,847,4913,5760
2240,2,1120,1331,4500,5831
2240,2,1120,1,5831,5832
2240,2,1120,16,6545,6561
2240,2,1120,289,6272,6561
2240,2,1120,9,6655,6664
2240,2,1120,2744,4131,6875
2240,2,1120,22,7203,7225
2240,2,1120,1296,5929,7225
2240,2,1120,3025,4913,7938
2240,2,1120,3087,4913,8000
2240,2,1120,3125,5103,8228
2240,2,1120,1125,8192,9317
2240,2,1120,1,9800,9801
2240,2,1120,25,9801,9826
2240,2,1120,2401,7425,9826
2240,2,1120,1024,9261,10285
2240,2,1120,1331,9604,10935
2240,2,1120,3125,9163,12288
2240,2,1120,81,14080,14161
2240,2,1120,1331,13005,14336
2240,2,1120,1,14399,14400
2240,2,1120,480,14161,14641
2240,2,1120,2401,12240,14641
2240,2,1120,98,14641,14739
2240,2,1120,343,15552,15895
2240,2,1120,49,16335,16384
2240,2,1120,68,16807,16875
