r,a,b,n,s,c,d,m,D,k_lo,k_hi,radprod1,radprod2,support1,support2
3,1,71874,71875,5,1,71874,71875,359375,172,1347,7590,7590,1265,1265
5,1,25920,25921,14,1,25920,25921,362894,38,290,4830,4830,805,805
1,1,4374,4375,84,1,4374,4375,367500,32,52,210,210,35,35
1,1,4374,4375,85,1,4374,4375,371875,32,51,210,210,35,35
10,1,4374,4375,87,1,4374,4375,380625,4,5,210,210,35,35
1,28561,98415,126976,3,28561,98415,126976,380928,907,7006,12090,12090,2015,2015
1,1,25920,25921,15,1,25920,25921,388815,186,1420,4830,4830,805,805
2,1,25920,25921,15,1,25920,25921,388815,93,710,4830,4830,805,805
4,1,25920,25921,15,1,25920,25921,388815,47,355,4830,4830,805,805
2,36864,41261,78125,5,36864,41261,78125,390625,280,2137,10230,10230,1705,1705
1,12672,117649,130321,3,12672,117649,130321,390963,931,4224,8778,8778,1463,1463
1,1,28125,28126,14,1,28125,28126,393764,201,1534,8610,8610,1435,1435
3,1,28125,28126,14,1,28125,28126,393764,67,511,8610,8610,1435,1435
1,1,4374,4375,91,1,4374,4375,398125,32,48,210,210,35,35
4,1,4374,4375,91,1,4374,4375,398125,8,12,210,210,35,35
1,1,31212,31213,13,1,31212,31213,405769,223,1686,9282,9282,1547,1547
2,1,31212,31213,13,1,31212,31213,405769,112,843,9282,9282,1547,1547
6,1,31212,31213,13,1,31212,31213,405769,38,281,9282,9282,1547,1547
2,1,4374,4375,93,1,4374,4375,406875,16,23,210,210,35,35
1,1,59048,59049,7,1,59048,59049,413343,422,3170,4026,4026,671,671
1,1,25920,25921,16,1,25920,25921,414736,186,1390,4830,4830,805,805
1,1,10647,10648,39,1,10647,10648,415272,77,272,6006,6006,1001,1001
1,1,83520,83521,5,1,83520,83521,417605,597,4469,14790,14790,2465,2465
3,1,83520,83521,5,1,83520,83521,417605,199,1489,14790,14790,2465,2465
5,1,4374,4375,96,1,4374,4375,420000,7,9,210,210,35,35
1,1,28125,28126,15,1,28125,28126,421890,201,1500,8610,8610,1435,1435
1,1,10647,10648,40,1,10647,10648,425920,77,266,6006,6006,1001,1001
2,1,28560,28561,15,1,28560,28561,428415,103,757,46410,46410,7735,7735
1,1,71874,71875,6,1,71874,71875,431250,514,3805,7590,7590,1265,1265
1,1,16640,16641,26,1,16640,16641,432666,119,639,16770,16770,2795,2795
1,1,4374,4375,99,1,4374,4375,433125,32,44,210,210,35,35
1,1,31212,31213,14,1,31212,31213,436982,223,1645,9282,9282,1547,1547
2,1,25920,25921,17,1,25920,25921,440657,93,681,4830,4830,805,805
1,8019,8788,16807,27,8019,8788,16807,453789,121,297,6006,6006,1001,1001
1,7569,57967,65536,7,7569,57967,65536,458752,469,1081,15834,15834,2639,2639
1,1,4374,4375,105,1,4374,4375,459375,32,41,210,210,35,35
2,1,4374,4375,105,1,4374,4375,459375,16,20,210,210,35,35
4,1,4374,4375,105,1,4374,4375,459375,8,10,210,210,35,35
1,1,4374,4375,106,1,4374,4375,463750,32,41,210,210,35,35
